,Year,Song,Artist
0,,I Didn't Mean To,Casual
1,1969.0,Soul Deep,The Box Tops
2,,Amor De Cabaret,Sonora Santanera
3,1982.0,Something Girls,Adam Ant
4,2007.0,Face the Ashes,Gob
5,,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter
6,,Keepin It Real (Skit),Rated R
7,,Drop of Rain,Tweeterfriendly Music
8,1984.0,Pink World,Planet P Project
9,,Insatiable (Instrumental Version),Clp
10,,Young Boy Blues,JennyAnyKind
11,,The Urgency (LP Version),Wayne Watson
12,,La Culpa,Andy Andy
13,,Auguri Cha Cha,Bob Azzam
14,1986.0,Tonight Will Be Alright,Lionel Richie
15,1987.0,Floating,Blue Rodeo
16,,High Tide,Richard Souther
17,,Sohna Nee Sohna Data,Faiz Ali Faiz
18,2004.0,Caught In A Dream,Tesla
19,,Synthetic Dream,lextrical
20,,Broken-Down Merry-Go-Round,Jimmy Wakely
21,,Kassie Jones,Alice Stuart
22,,Setanta matins,Elena
23,2004.0,Setting Fire to Sleeping Giants,The Dillinger Escape Plan
24,1985.0,James (Hold The Ladder Steady),SUE THOMPSON
25,,Made Like This (Live),Five Bolt Main
26,,Superconfidential,Clp
27,2005.0,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson
28,1997.0,Spanish Grease,Willie Bobo
29,1961.0,Crazy Mixed Up World,Faye Adams
30,1972.0,Do You Finally Need A Friend,Terry Callier
31,,The Emperor Falls,John Wesley
32,1964.0,Twist and Shout,The Shangri-Las
33,1992.0,It Makes No Difference Now,Billie Jo Spears
34,,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran)
35,1997.0,¿Dónde va Chichi?,Sierra Maestra
36,,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers
37,,OUTE ENA EFHARISTO,Despina Vandi
38,,Midnight Swim,Javier Navarrete
39,,In A Subtle Way,Jacob Young
40,2007.0,Spin,Scarlet's Remains
41,2003.0,Burning In The Aftermath,The Suicide Machines
42,,Angie (1993 Digital Remaster),The Rolling Stones
43,,Sabor Guajiro,Roberto Torres
44,1995.0,Human Cannonball,Loudon Wainwright III
45,2004.0,Glory Be,R.L. Burnside
46,1992.0,Crossfire,Stevie Ray Vaughan
47,2002.0,I Can't Be Satisfied,John Hammond
48,2006.0,Nashville Parthenon,Casiotone For The Painfully Alone
49,1995.0,Cocain Ducks,Ec8or
50,1974.0,Human Being,The New York Dolls
51,2009.0,The More I See You,Eliane Elias
52,1997.0,Certain Things We Do,Lost Boyz
53,1977.0,Forming,The Germs
54,,Mafuá,Yamandu Costa
55,1986.0,Driving Home For Christmas,Chris Rea
56,1966.0,Spooks In Space,Perrey And Kingsley
57,1985.0,Tous Les Garçons Et Les Filles,Eurythmics
58,1995.0,Too Much Saturn,Francis Dunnery
59,1997.0,Movement 4 [from Kiss] (Album Version),John Cale
60,,Stream,Suzanne Ciani
61,,Make Me Over,Vickie Winans
62,2000.0,Deform (live),The Berzerker
63,2003.0,Wicker Chair,Kings Of Leon
64,,An ti chans',Edith Lefel
65,,I Will Love Again (JJ's Club Radio),Taras
66,1992.0,Stickin In My Eye,NOFX
67,,Ota kiinni,Murskahumppa
68,1990.0,Entre Caníbales,Soda Stereo
69,1985.0,Rosemary Recalls,Bruce Rowland
70,2000.0,Sudanese Dance,Xcultures
71,,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart
72,1997.0,Wanna Be A Player,Heavy D / McGruff
73,,Panama (Remastered Album Version),Van Halen
74,2004.0,Let's Get It Started,Black Eyed Peas
75,2000.0,Metal,Nine Inch Nails
76,,She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds
77,,Next Time,Nadine Renee
78,1963.0,It's My Party,Lesley Gore
79,2001.0,Complicate It,Smartbomb
80,2005.0,Monde De Fou,Suburbs
81,,Opus a Satana (Part 2),Emperor
82,,This Melody (Live),Julien Clerc
83,,I'm Gone This Time,Glen Campbell
84,2002.0,You Feel Good All Over,T.G. Sheppard
85,1990.0,Indian Love Call,Slim Whitman
86,1999.0,You Can Still Be Free,Savage Garden
87,2005.0,I Never Came,Queens Of The Stone Age
88,,Dixie,Hank Penny & The Lincoln Penny Orchestra
89,1990.0,Commercial Reign,Inspiral Carpets
90,,Hourglass,Borialis
91,,Wake,The Dirty Skirts
92,,Caricia Y Herida,Flor Silvestre
93,,Le tortillard,Bézu
94,2001.0,WKYA (drop),Redman
95,,Teräslintu,Solistiyhtye Suomi
96,,Now's The Time To Fall In Love,Eddie Cantor
97,,Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid
