,Unnamed: 0,Year,Song,Artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
0,0,,I Didn't Mean To,Casual,0.063,https://api.spotify.com/v1/audio-analysis/01TR6aAKrA2cI3Z0gnCOsu,0.751,218933,0.549,01TR6aAKrA2cI3Z0gnCOsu,2.47e-05,6,0.106,-10.508,0,0.429,92.224,4,https://api.spotify.com/v1/tracks/01TR6aAKrA2cI3Z0gnCOsu,audio_features,spotify:track:01TR6aAKrA2cI3Z0gnCOsu,0.564,25
1,1,1969.0,Soul Deep,The Box Tops,0.195,https://api.spotify.com/v1/audio-analysis/4yPl1mK1oluIrCwI4HInPR,0.749,147760,0.53,4yPl1mK1oluIrCwI4HInPR,3.53e-05,9,0.0748,-12.94,1,0.0326,121.395,4,https://api.spotify.com/v1/tracks/4yPl1mK1oluIrCwI4HInPR,audio_features,spotify:track:4yPl1mK1oluIrCwI4HInPR,0.968,33
2,2,,Amor De Cabaret,Sonora Santanera,0.689,https://api.spotify.com/v1/audio-analysis/5JeyXbf7CrVQ8DqwFikN0P,0.699,183027,0.519,5JeyXbf7CrVQ8DqwFikN0P,0.000471,8,0.935,-6.422,1,0.029,102.463,4,https://api.spotify.com/v1/tracks/5JeyXbf7CrVQ8DqwFikN0P,audio_features,spotify:track:5JeyXbf7CrVQ8DqwFikN0P,0.664,54
3,3,1982.0,Something Girls,Adam Ant,0.197,https://api.spotify.com/v1/audio-analysis/1BddSZ9x0Vi2WfZOSna47Z,0.596,232107,0.934,1BddSZ9x0Vi2WfZOSna47Z,0.00741,0,0.184,-3.812,1,0.0459,120.055,4,https://api.spotify.com/v1/tracks/1BddSZ9x0Vi2WfZOSna47Z,audio_features,spotify:track:1BddSZ9x0Vi2WfZOSna47Z,0.846,15
4,4,2007.0,Face the Ashes,Gob,0.000356,https://api.spotify.com/v1/audio-analysis/4cdbM6efK43Cs2PDMtzdhv,0.525,209600,0.918,4cdbM6efK43Cs2PDMtzdhv,0.566,2,0.0904,-4.512,1,0.0543,129.727,4,https://api.spotify.com/v1/tracks/4cdbM6efK43Cs2PDMtzdhv,audio_features,spotify:track:4cdbM6efK43Cs2PDMtzdhv,0.652,12
5,5,,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,0.706,https://api.spotify.com/v1/audio-analysis/7ERvcsBBYzSHqQQqlI9xAN,0.456,267640,0.472,7ERvcsBBYzSHqQQqlI9xAN,4.93e-06,5,0.0833,-8.328,1,0.0325,147.565,4,https://api.spotify.com/v1/tracks/7ERvcsBBYzSHqQQqlI9xAN,audio_features,spotify:track:7ERvcsBBYzSHqQQqlI9xAN,0.284,2
6,6,,Keepin It Real (Skit),Rated R,0.813,https://api.spotify.com/v1/audio-analysis/0e4hF4Jxyh7cuwB2pMYhBh,0.677,112947,0.183,0e4hF4Jxyh7cuwB2pMYhBh,0,1,0.26,-16.059,1,0.926,87.661,4,https://api.spotify.com/v1/tracks/0e4hF4Jxyh7cuwB2pMYhBh,audio_features,spotify:track:0e4hF4Jxyh7cuwB2pMYhBh,0.735,0
7,7,,Drop of Rain,Tweeterfriendly Music,0.553,https://api.spotify.com/v1/audio-analysis/6dfppQDZQ4x3fCs6N89kV3,0.498,189560,0.3,6dfppQDZQ4x3fCs6N89kV3,0.000116,7,0.0963,-10.716,1,0.0352,100.315,3,https://api.spotify.com/v1/tracks/6dfppQDZQ4x3fCs6N89kV3,audio_features,spotify:track:6dfppQDZQ4x3fCs6N89kV3,0.186,0
8,8,1984.0,Pink World,Planet P Project,0.00199,https://api.spotify.com/v1/audio-analysis/2dISPmbjb4RKXTORd3KBVp,0.292,269880,0.847,2dISPmbjb4RKXTORd3KBVp,0.00239,9,0.0802,-5.483,1,0.125,85.656,4,https://api.spotify.com/v1/tracks/2dISPmbjb4RKXTORd3KBVp,audio_features,spotify:track:2dISPmbjb4RKXTORd3KBVp,0.516,10
9,9,,Insatiable (Instrumental Version),Clp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
